Question,ans1,ans2,ans3,ans4,info,correct
Wie hoch ist der tägliche Vitamin-A-Bedarf?,"0,8–1,0 ng","0,8–1,0 µg","0,8–1,0 mg","0,8–1,0 g","Die tägliche Zufuhr an Vitamin A sollte nach DACH zwischen 0,8 und 1,0 mg liegen, abhängig von Alter und Geschlecht.",3
Welches Provitamin stellt eine Vorstufe von Vitamin A dar?,Beta-Carotin,Cholesterin,Lycopin,Purin,"Beta-Carotin kann im menschlichen Körper zu Vitamin A umgewandelt werden und besitzt somit ""Vitamin A-Wirkung"".",1
Lang anhaltender Vitamin A-Mangel führt zu ...,Diabetes mellitus,Nachtblindheit,Skorbut,Rachitis,"Da Vitamin A maßgeblich am Sehvorgang beteiligt ist, kann eine Unterversorgung zur Nachtblindheit führen.",2
Welches Lebensmittel hat den höchsten Vitamin A-Gehalt?,Haferflocken,Kakaobutter,Lebertran,Karotten,"Lebertran enthält mit 30 mg / 100g mit Abstand am meisten Vitamin A, gefolgt von diversen Innereien. Karotten enthalten ""nur"" 1,6 mg.",3
"Wie lautet die veraltete bzw. alternative Bezeichnung für den Begriff ""Enzym""?",Pergament,Ferment,Piment,Zement,"Früher wurden Enzyme auch als ""Fermente"" bezeichnet. Das Kunstwort Enzym wurde 1878 von Wilhelm Friedrich Kühne eingeführt.",2
Aus welchen Grundbausteinen / Makromolekülen sind Enzyme aufgebaut?,Proteine / Eiweiße,Kohlenhydrate,Fette,Mischung aus Kohlenhydraten und Fetten,"Enzyme sind Proteine, die an vielfältigen biochemischen Reaktionen beteiligt sind.",1
Wie werden Enzyme aufgrund ihrer biochemischen Funktion noch bezeichnet?,Bio-Ballaststoffe,Bio-Baustoffe,Bio-Katalysatoren,Bio-Brennstoffe,"Da Enzyme biochemische Reaktionen katalysieren (""beschleunigen"") können indem sie die Aktivierungsenergie herabsetzen, werden sie auch als Bio-Katalysatoren bezeichnet.",3
Welche Endung zeichnet die meisten Enzymnamen aus?,-ase,-ise,-ose,-use,"Für Enzymnamen ist die Endung -ase vorgesehen, z.B. Oxidase oder Lipase.",1
"Wie bezeichnet man die Art und Weise, wie Enzym und Substrat miteinander reagieren?",Schlüssel-Schloss-Prinzip,Hase-Igel-Prinzip,Katz-Maus-Prinzip,Minimalprinzip,"Das Schlüssel-Schloss-Prinzip wurde 1894 von Emil Fischer beschrieben. Es basiert auf der Tatsache, dass ein bestimmtes Substrat zum entsprechenden Enzym wie ein Schlüssel in das passende Schloss passt.",1
Welche Theorie gilt als der Grundstein der Enzymkinetik?,Embden-Meyerhof-Theorie,Miller-Urey-Theorie,Kolmogorow-Smirnow-Theorie,Michaelis-Menten-Theorie,Die Michaelis-Menten-Theorie (nach Leonor Michaelis und Maud Menten 1913) liefert einen Zusammenhang zwischen der Reaktionsgeschwindigkeit einer Enzymreaktion sowie der Enzym- und Substratkonzentration.,4
"Wie bezeichnet man den Vorgang, bei dem zwei Substanzen (Enyzme) um einen Rezeptor konkurrieren?",Komplementäre Hemmung,Katalytische Hemmung,Kompetitive Hemmung,Katastrophale Hemmung,"Als kompetitive Hemmung wird in der Biochemie ein Vorgang bezeichnet, bei dem zwei Substanzen (Agonist und Antagonist) um die Bindung an einen Rezeptor (z.B. das aktive Zentrum eines Enzyms) konkurrieren.",3
Wie heisst das numerische Klassifikationssystem für Enzyme?,AU-Nummer,AG-Nummer,EU-Nummer,EC-Nummer,Die EC-Nummern (engl. Enzyme Commission numbers) bilden ein numerisches Klassifikationssystem für Enzyme. Jede EC-Nummer besteht aus vier durch Punkte voneinander getrennten Zahlen.,4
Wie lautet die botanische Bezeichnung von Roggen?,Avena sativa,Secale cereale,Sorghum bicolor,Zea mays,Der botanische Name von Roggen lautet Secale cereale.,2
"Wie heisst der giftige Pilz, der bevorzugt die Ähren von Roggen befällt?",Mutterkorn,Vaterkorn,Onkelkorn,Zwillingskorn,Das giftige Schimmelpilzgift ist das Mutterkorn (Claviceps purpurea).,1
Wie viel Prozent der Weltgetreideerzeugung nimmt Roggen ein?,1 Prozent,4 Prozent,7 Prozent,12 Prozent,"Der Anteil von Roggen an der Weltgetreideerzeugung liegt bei nur einem Prozent.
",1
Für was wird Roggen seit etwa 2004 noch angebaut?,Papier-Herstellung,Herstellung von Bio-Ethanol,Wein-Herstellung,Herstellung von Computerchips,"Seit 2004/05 wird Roggen auch als Grundlage für die Herstellung von Bio-Ethanol angebaut.
",2
Welche Länder sind die größten Roggenproduzenten?,USA,Indien,China,"Russland, Polen",Die größten Roggenproduzenten sind Russland (3.6 Mio. t) und Polen (3.4 Mio t) .,4
"Wie lautet die medizinische Bezeichnung für ""Nierenkörperchen""?",Tophi,Glomeruli,Kinozilie,Granulozyten,Nierenkörperchen werden auch als Glomeruli (Einzahl: Glomerulus) bezeichnet.,2
Welches auch als Dopingmittel eingesetzte Hormon wird in den Nieren gebildet?,Serotonin,Thyroxin,Calcitonin,Erythropoetin,Das häufig als Dopingmittel missbrauchte Erythropoetin wird kurz auch als EPO bezeichnet.,4
Welches Vitamin wird in den Nieren in seine eigentlich wirksame Hormonform  (Calcitriol) umgewandelt?,Vitamin A,Vitamin D,Vitamin E,Vitamin K,"Vitamin D wird in den Nieren in Calcitriol umgewandelt, welches für die Aufnahme von Calcium und Phosphor notwendig ist.",2
Die ernährungsmedizinische Grundlage bei chronischer Niereninsuffizienz ist eine ...,eiweißarme Ernährung,fettarme Ernährung,kohlenhydratarme Ernährung,alkoholfreie Ernährung,Die Grundlage der Ernährung bildet eine angepasste eiweißarme Kost.,1
Welche beiden Laborparameter werden zur Beurteilung der Nierenfunktion primär herangezogen?,Harnsäure / Kreatinkinase,GOT / GPT,Kreatinin / Harnstoff,HDL / LDL,Die Serumkonzentrationen von Kreatinin und Harnstoff dienen als Grundlage zur Beurteilung der Nierenfunktion.,3
Wie wird die Flüssigkeitsmenge für einen Dialysepatienten ermittelt?,Trinkmenge = Urinvolumen des Vortages,Trinkmenge = Urinvolumen des Vortages + 500ml,Trinkmenge = Urinvolumen des Vortages + 1000ml,Trinkmenge = Urinvolumen des Vortages + 1500ml,Die Trinkmenge sollte das Urinvolumen des Vortages + 500ml nicht überschreiten.,2
Wie kann die unter Hämodialyse notwendige Reduktion des Kaliumgehaltes von Lebensmitteln erreicht werden?,Kochen,Einfrieren,Trocken,Wässern,"Um die empfohlene Kaliumzufuhr von 2g Kalium/Tag nicht zu überschreiten, sollten kaliumreiche Lebensmittel gewässert werden.",4
"Welches Körperteil wird bei der Peritonealdialyse als eine Art ""Filtermembran"" verwendet?",Bauchfell,Zwergfell,Blase,Darm,Das Bauchfell (Peritoneum) dient bei der Bauchfelldialyse bzw. Peritonealdialyse als Filtermembran.,1
"Was bedeutet der Name ""Diabetes mellitus"" wörtlich übersetzt bzw. woher leitet er sich ab?",Erhöhung der Blutzuckerwerte,Honigsüßer Durchfluss,Schleichende Krankheit,Keine Antwort ist richtig,"Der Begriff ""Diabetes mellitus"" leitet sich vom griechischen ""diabainein"" (=hindurchfließen) und dem lateinischen mellitus (=honigsüß) ab.",2
Welches Hormon wird beim Diabetes mellitus Typ 1 in nicht ausreichender Menge gebildet?,Insulin,Adiuretin,Serotonin,Glucagon,Das in der Bauchspeicheldrüse gebildete Hormon Insulin wird in nicht ausreichendem Maße hergestellt.,1
Was ist die Hauptursache des Diabetes mellitus Typ 2?,Infektion,Insektenstich,Lebensmittelvergiftung,Übergewicht / Adipositas,"Übergewicht (Adipositas) ist die Hauptursache des ""Altersdiabetes"". Etwa 80% der Typ 2-Diabetiker sind übergewichtig.",4
Welche Aussage bzgl. der Aufnahme von Einfachzuckern (Mono- und Disaccharide) entspricht den derzeitigen Empfehlungen?,Einfachzucker müssen komplett gemieden werden.,"Minimale Zuckermengen sind erlaubt, d.h. < 1 Esslöffel (10 g) pro Tag.",Eine moderate Zufuhr von Einfachzuckern ist unter gewissen Voraussetzungen erlaubt.,Mono- und Disaccharide können unbegrenzt zugeführt werden.,"Bei guter Blutzuckereinstellung ist gegen einen moderaten Konsum nichts einzuwenden, jedoch max. 50 g / Tag bzw. weniger als 10% der Gesamtenergiezufuhr.",3
Wie bezeichnet man medizinisch eine akute oder dauerhafte Erhöhung der Blutzuckerwerte?,Hypoglykämie,Hyperglykämie,Hyperurikämie,Hyperthermie,Bei erhöhten Blutzuckerwerten spricht der Mediziner von einer Hyperglykämie.,2
Wobei handelt es sich NICHT um eine Folgeerkrankung des Diabetes mellitus?,Retinopathie,Apathie,Neuropathie,Nephropathie,"Die Apathie (Teilnahmslosigkeit) hat nichts mit Diabetes zu tun. Die Retino-, Neuro- und Nephropathie bezeichnen Erkrankungen der Augen, Nerven und Nieren (des Diabetikers).",2
Wann tritt die für die rheumatoide Arthritis typische Gelenksteifigkeit bevorzugt auf?,morgens,mittags,abends,zu keiner bestimmten Tageszeit,Die Gelenksteifigkeit tritt bevorzugt am Morgen auf. Man spricht daher auch von Morgensteifigkeit.,1
"Was versteht man unter ""Rheumafaktoren""?",Gesamtheit aller auslösenden Ursachen,gleichzeitiges Auftreten von Gelenkschmerzen und Müdigkeit,gleichzeitiges Auftreten von Rheumaknoten und Gelenkentzündungen,bestimmte Antikörper (IgM) im Blut,Bei 70-80% der Rheumapatienten lassen sich sogenannte Rheumafaktoren im Blut nachweisen. Dabei handelt es sich um spezifische Antikörper (IgM).,4
"Aus welcher Fettsäure werden die entzündungsauslösenden Eicosanoide (Thromboxan A2, Prostaglandin E2, Leukotrien B4) gebildet?",Linolensäure,Arachidonsäure,Buttersäure,Laurinsäure,"Da die Entzündungsfaktoren aus Arachidonsäure gebildet werden, stellt die Reduktion dieser Fettsäure eine wichtige diätetische Maßnahme dar.",2
Wobei handelt es sich um eine Omega-3-Fettsäure?,Capronsäure,Eicosapentaensäure,Palmitinsäure,Behensäure,Die beiden wichtigsten Omega-3-Fettsäuren sind Eicosapentaensäure und Docosahexaensäure.,2
Welche Fischart ist besonders reich an Omega-3-Fettsäuren?,Kabeljau,Forelle,Lachs,Steinbutt,"Lachs enthält mit 20,7 g/kg den höchsten Gehalt an Omega-3-Fettsäuren.",3
Wobei handelt es sich NICHT um eine Medikamentengruppe zur Behandlung von Rheuma (Antirheumatika)?,Diuretika,Nicht-Steroidale Antirheumatika,Glucocorticoide,"""Basistherapeutika"" wie z.B. Gold",Diuretika werden nicht zur Behandlung von Rheuma eingesetzt.,1
Die Erhöhung welcher Substanz im Blut ist Voraussetzung bzw. die Ursache für einen Gichtanfall?,Harnstoff,Harnsäure,Heparin,Hämoglobin,Hohe Konzentrationen von Harnsäure können einen Gichtanfall auslösen.,2
Welches Körperteil ist am häufigsten bei einem Gichtanfall betroffen?,Daumen,Kleiner Finger,Großer Zeh,Kleiner Zeh,In 2/3 aller Gichtanfälle ist das Großzehengrundgelenk betroffen.,3
"Aus was bestehen die Kristalle, die sich bei chronischer Gicht im Gewebe und in den Gelenken ablagern?",Natriumurat,Calciumoxalat,Kaliumpermanganat,Magnesiumsulfat,"Bei Werten über 6,5 mg/dl kann es zu Harnsäureausfällungen in Form von Natriumurat (Natriumsalz der Harnsäure) kommen.",1
Eine Folgeerkrankung der Gicht sind sogenannte Gichtknoten. Wie ist hierfür die medizinische Bezeichnung?,Testikel,Ekzem,Tofu,Tophi,Gichtknoten bezeichnet der Mediziner als 'Tophi'. Weitere Folgeerkrankungen wären die Gichtniere sowie Nierensteine.,4
Unter einer Uratnephropathie versteht man eine Erkrankung ...,der Leber,des Herzens,der Nieren,der Bauchspeicheldrüse,Eine Uratnephropathie ist eine Erkrankung der Nieren. Dabei handelt es sich um die sogenannte Gichtniere.,3
Welche Lebensmittel weisen den höchsten Puringehalt auf?,Innereien,Hering,Wildschwein,Milch,Innereien enthalten mit Abstand am meisten Purine. Diese werden im Körper zu Harnsäure abgebaut und sollten bei Gicht gemieden werden.,1
Wie lautet der medizinische Fachbegriff für Bluthochdruck?,Hypertonie,Hypotonie,Hyperglykämie,Hypoglykämie,Hypertonie ist der medizinische Fachbegriff für dauerhaft erhöhten Blutdruck.,1
In welcher Einheit wird der Blutdruck üblicherweise in der Praxis angegeben?,mg/dl,mbar,mmHg,ml/g,"Der Blutdruck wird in der Praxis als ""Millimeter Quecksilbersäule"" (mm Hg) angegeben. Die
offizielle SI-Einheit für den Druck ist jedoch ""Pascal"".",3
Ab welchen (dauerhaft erhöhten) Blutdruckwerten liegt ein Bluthochdruck vor?,120/80,140/90,160/90,160/120,Ab Werten über 140/90 spricht man von Bluthochdruck. Optimal sind Werte unter 120/80.,2
Wie viel Prozent der erwachsenen deutschen Bevölkerung leiden an Bluthochdruck?,10%,20%,35%,50%,Etwa jeder zweite Erwachsene (50%) hat Blutdruckwerte über 140/90 mmHg.,4
"Wie hoch sollte die Kochsalzzufuhr beim Erwachsenen, vor allem aber beim Bluthochdruck-Kranken, maximal sein?",3 g Kochsalz,6 g Kochsalz,9 g Kochsalz,12 g Kochsalz,Die tägliche Zufuhr von Kochsalz sollte 6 g nicht übersteigen.,2
"Wie hoch darf der Natriumgehalt eines Mineralwassers maximal sein, damit der Hinweis ""natriumarm"" angebracht werden darf?",20 Natrium mg pro Liter,50 Natrium mg pro Liter,200 Natrium mg pro Liter,500 Natrium mg pro Liter,"Ein Mineralwasser mit der Auslobung ""natriumarm"" darf maximal 20 mg Natrium pro Liter enthalten.",1
Wie viel Gramm Kochsalz sind in 140 g Salzstangen enthalten?,"0,8 Gramm Kochsalz","1,4 Gramm Kochsalz","4,1 Gramm Kochsalz","5,9 Gramm Kochsalz","140 Gramm Salzstangen enthalten ca. 6 g Kochsalz, also genau die Menge, die pro Tag nicht überschritten werden sollte!",4
Welche Sportart ist für Patienten mit Bluthochdruck nicht geeignet?,Tanzen,Walking,Laufen / Sprints,Schwimmen,"Alle Sportarten, die einen plötzlichen, hohen Krafteinsatz erfordern (z.B. Sprints), sind nicht geeignet. Ausdauersportarten sollten hingegen regelmäßig ausgeübt werden.",3
Wobei handelt es sich nicht um eine Medikamentengruppe zur Behandlung von Bluthochdruck?,Antiphlogistika,Diuretika,Betablocker,ACE-Hemmer,Antiphlogistika sind entzündungshemmende Arzneimittel.,1
Wie lautet die chemische Bezeichnung für Vitamin D?,Actinidin,Calciferol,Noradrenalin,Ethanol,Die verschiedenen Vitamin D-Verbindungen werden auch als Calciferole bezeichnet.,2
Aus welcher körpereigenen Substanz kann der Mensch - zusammen mit UV-Strahlen - Vitamin D selbst bilden?,Cholesterin,Harnsäure,Harnstoff,Kreatin,Aus 7-Dehydrocholesterin und Sonnenlicht (UV-Strahlung) kann der Körper Vitamin D selbst herstellen.,1
In welchen beiden Organen findet die Vitamin D-Synthese (Herstellung) statt?,Herz / Pankreas,Hypothalamus / Hypophyse,Leber / Niere,Milz / Magen,"Die Synthese erfolgt grob gesagt in zwei Schritten. Zuerst in der Leber, anschließend in der Niere.",3
"Welche Erkrankung können Kinder bekommen, wenn sie zu wenig Vitamin D zuführen?",Anämie,Down-Syndrom,Pellagra,Rachitis,Im Kindesalter führt anhaltender Vitamin D-Mangel zur Rachitis.,4
"Wie bezeichnet man die Krankheit, die bei Erwachsenen durch Vitamin D-Mangel ausgelöst wird?",Hypothyreose,Osteomalazie,Alopezie,Zöliakie,"Andauernder Vitamin D-Mangel kann bei Erwachsenen zur Osteomalazie führen.
",2
Wie hoch ist der Vitamin D-Bedarf pro Tag?,5 µg,50 µg,5 mg,50 mg,"Der Bedarf ist stark von der Sonneneinstrahlung abhängig. Erwachsene haben einen täglichen Bedarf von etwa 5 µg/Tag.
",1
Welches Lebensmittel hat den höchsten Vitamin D-Gehalt?,Olivenöl,Lebertran,Butter,Kalbsherz,Lebertran besitzt mit Abstand den höchsten Vitamin D-Gehalt (330 µg/100g). Er wurde früher zur Behandlung der Rachitis eingesetzt.,2
Welches Hormon steigert bzw. aktiviert die Bildung von Vitamin D?,Adrenalin,Insulin,Renin,Parathormon,Das in den Nebenschilddrüsen gebildete Parathormon stimuliert die Bildung von Vitamin D.,4
Was ist die Hauptaufgabe von Vitamin D  im menschlichen Körper?,Regulation des Calcium- und Phosphatstoffwechsels,Größenwachstum,Ausbildung der sekundären Geschlechtsmerkmale,Blutbildung,"Vitamin D sorgt auf vielfältige Weise für eine stärkere Einlagerung von Calcium in die Knochenmatrix. Es wirkt in Darm, Knochen, Niere und Nebenschilddrüse.",1
"Welche chemische Verbindung verbirgt sich hinter dem Begriff ""Vitamin C""?",Ascorbinsäure,Elaidinsäure,Shikimisäure,Tyramin,Ascorbinsäure ist das Synonym für Vitamin C.,1
Wie viel Vitamin C sollte man täglich zu sich nehmen?,10 mg pro Tag,50 mg pro Tag,100 mg pro Tag,250 mg pro Tag,Nach DACH sollte man täglich etwa 100 mg Vitamin C /Ascorbinsäure aufnehmen.,3
Welche Erkrankung kann aus lang andauerndem Vitamin C-Mangel resultieren?,Anämie,Pellagra,Rachitis,Skorbut,"Vitamin C-Mangel führt zu Skorbut, der früher besonders bei Seefahrern gefürchtet war.",4
Welche der folgenden Aussagen ist falsch?,Vitamin C ist an der Bildung von Tetrahydrofolat / Folsäure beteiligt.,Vitamin C ist an der Bildung von Cholesterin beteiligt.,Vitamin C ist an der Wundheilung und Narbenbildung beteiligt.,Vitamin C verbessert die Resorption (Aufnahme) von Eisen.,Vitamin C ist NICHT an der Cholesterin-Synthese beteiligt.,2
Welches Lebensmittel hat den höchsten Vitamin C-Gehalt?,Hagebutte,Kiwi,Paprika,Zitrone,Die Hagebutte enthält von den genannten Lebensmitteln mit 1250 mg / 100g mit Abstand am meisten Vitamin C.,1
Unter welcher E-Nummer ist Vitamin C als Zusatzstoff zugelassen?,E 100,E 200,E 300,E 400,Als E 300 ist Vitamin C als Zusatzstoff zugelassen und dient u.a. als Umrötungshilfsmittel zur Herstellung von gekochtem Schinken.,3
Was ist der Hauptbestandteil der meisten Allergie auslösenden Substanzen (Allergene)?,Eiweiß,Fett,Kohlenhydrate,Mineralstoffe,Die meisten Allergene bestehen hauptsächlich aus Proteinen / Eiweiß.,1
"Wie lautet die Kurzbezeichnung für die Antikörper, die am häufigsten an allergischen Reaktionen beteiligt sind?",ACE,IgE,OGG,yGT,"Bei einer Allergie entwickelt der Körper Antikörper, die sogenannten Immunglobuline vom Typ IgE.",2
"Welcher ""Botenstoff"" wird bei einer allergischen Reaktion freigesetzt?",Histamin,Melatonin,Serotonin,Zeaxanthin,Der Kontakt mit einem Allergen führt zur Ausschüttung von Histamin.,1
Wie nennt sich die gefährlichste allergische Reaktion des Körpers?,Hypovolämischer Schock,Endokriner Schock,Anaphylaktischer Schock,Kardiogener Schock,Die gefährlichste Reaktion auf Allergene ist der anaphylaktische Schock.,3
Was ist KEIN Testverfahren zur Diagnose einer Lebensmittel-Allergie?,Epikutan-Test,Prick-Test,Rorschach-Test,Scratch-Test,Der Rorschach-Test (Tintenkleckstest) wird in der Psychologie (Psychoanalyse) eingesetzt.,3
Wobei handelt es sich NICHT um eine Milcheiweißfraktion?,Albumine,Caseine,Catechine,Globuline,Catechine sind nicht Bestandteil des Milcheiweißes. Sie zählen zu den Gerbstoffen.,3
Welches ist das wichtigste Kontaktallergen?,Aluminium,Bor,Jod,Nickel,"Nickel steht an erster Stelle der Kontaktallergene. Nickelquellen sind z.B. Schmuck, Knöpfe, Brillengestelle, Euro-Münzen und Lebensmittel.",4
Wobei handelt es sich NICHT um Medikamente zur Beseitigung der Allergie-Symptome?,Antihistaminika,Cromoglicinsäure,Glucocorticoide,Urikosurika,"Urikosurika sind Medikamente, die die Harnsäureausscheidung über die Nieren steigern.",4
In welchem Jahr wurde Vitamin E entdeckt?,1826,1898,1922,1947,"Im Jahr 1922 berichten Evans und Bishop (USA) erstmals von einem fettlöslichen Faktor, der später Vitamin E genannt wurde.
",3
Welche Eigenschaft wurde Vitamin E als erstes zugeschrieben?,Wirkungsvolles Mittel gegen Skorbut,Erhöhte Fruchtbarkeit bei Ratten,Stärkere Knochenbildung beim Hamster,Verbesserte Blutbildung beim Meerschweinchen,"Vitamin E galt zunächst als Fruchtbarkeits-Vitamin, da es für die Fortpflanzung von Ratten notwendig war.
",2
Welches ist die aktivste Form von Vitamin E?,Alpha-Tocopherol,Beta-Tocopherol,Gamma-Tocopherol,Delta-Tocopherol,Das alpha-Tocopherol ist die biologisch aktivste Form aller Vitamin E-Verbindungen.,1
Was ist die wichtigste biologische Funktion von Vitamin E?,Schutz der Zellmembranen vor Oxidation,Einlagerung von Calcium in die Knochensubstanz,Schutz vor Erkältung,Rachitis-Prävention,"Als gesichert gilt, dass Vitamin E die Zellmembranen vor Oxidation schützt.",1
Welche Substanzen werden für die Resorption / Aufnahme von Vitamin E benötigt?,Amylase,Intrinsic-Faktor,Magensäure / Salzsäure,Fett spaltende Enzyme (Pankreaslipasen) und Gallensäuren,"Da die Aufnahme von Vitamin E zusammen mit den Nahrungsfetten erfolgt, ist die Anwesenheit von Pankreaslipasen und Gallensäuren notwendig.
",4
Welches Lebensmittel enthält den höchsten Vitamin E-Gehalt?,Eier,Kokosfett,Weizenkeimöl,Mohn,Mit 175 mg Vitamin E enthält Weizenkeimöl mit Abstand am meisten Vitamin E.,3
Nach welchem Nährstoff richtet sich die Empfehlung für die tägliche Vitamin E-Zufuhr?,Alkohol,Fett,Eiweiß,Kohlenhydrate,Die empfohlene tägliche Zufuhr richtet sich maßgeblich nach der Zufuhr von ungesättigten Fettsäuren.,2
Wie hoch ist der tägliche Vitamin E-Bedarf?,1-2 mg,5-7 mg,12-15 mg,20-25 mg,Laut DACH-Referenzwerten wird eine tägliche Zufuhr von 12 mg (Frauen) bis 15 mg (Männer) pro Tag empfohlen. Schwangere und Stillende haben einen erhöhten Bedarf.,3
Welches Körpergewebe enthält den höchsten Vitamin E-Anteil?,Nebennierenrinde und Fettgewebe,Hypothalamus und Muskulatur,Hypophyse und Leber,Herz und Bauchspeicheldrüse,Bezogen auf das Feuchtgewicht sind die höchsten Vitamin E-Konzentrationen in Nebennierenrinde und Fettgewebe zu finden (130-150 µg/g).,1
Wie hoch muss der Alkoholgehalt bei Wein laut Gesetz mindestens sein?,"4,5 Volumenprozent","6,5 Volumenprozent","8,5 Volumenprozent","10,5 Volumenprozent","Laut der Gesetzgebung in der EU muss ein Wein mindestens 8,5
Volumenprozent Alkohol enthalten.",3
Met ist ein weinähnliches Getränk. Aus was wird er hergestellt?,Zuckersirup,Ahornsirup,Quittenmark,Honig,"Met oder Honigwein ist ein weinähnliches alkoholisches Getränk, das aus Honig und Wasser hergestellt wird.",4
Mit welchem Gerät wird der Alkoholgehalt des Weines bestimmt?,Chronometer,Önometer,Heliometer,Pyknometer,"Der Alkoholgehalt wird mit Hilfe eines Önometers bestimmt. Es zeigt an, wann sich die Maische auf dem Höhepunkt der  Gärung befindet.",2
Welches Gas entsteht neben Alkohol bei der alkoholischen (Wein-)Gärung?,Kohlendioxid,Propangas,Stickstoff,Sauerstoff,Als Abbauprodukte bei der alkoholischen Gärung entstehen Alkohol und Kohlendioxid.,1
"Welche Säure kann entstehen, wenn der Alkohol des Weines mit Sauerstoff in Berührung kommt?",Milchsäure,Bernsteinsäure,Essigsäure,Zitronensäure,Der im Wein enthaltene Alkohol kann durch Sauerstoff zu Essigsäure abgebaut (oxidiert) werden.,3
"Wie heißen die Gerbstoffe im Wein, die u.a. seine Lagerfähigkeit erhöhen?",Albumine,Betaine,Sulfide,Tannine,Die in den Stielen und Beerenhäuten der Weintrauben enthaltenen Gerbstoffe bezeichnet man auch als Tannine.,4
In welcher Einheit wird in Deutschland der Zuckergehalt des Traubenmostes angegeben?,Kaelble,Oechlse,Spaetzle,Taeuble,"In Deutschland in die Einheit Grad Oechsle gebräuchlich, benannt nach dem Pforzheimer Mechaniker Ferdinand Oechsle.",2
Mit welchem Messgerät wird die Zuckerkonzentration des Mostes gemessen?,Refraktometer,Spektrometer,Oszillator,Tachymeter,Zur Bestimmung des Mostgewichtes verwendet der Winzer ein Refraktometer.,1
Die Bezeichnung Kiwi steht für welchen botanischen Namen?,Actinidia deliciosa,Opuntia ficus-indica,Rubus idaeus,Vaccinium vitis-idaea,Die botanische Bezeichnung für Kiwis lautet Actinidia deliciosa.,1
Wie lautet eine andere Bezeichnung für Kiwi?,Chinesische Stachelbeere,Japanische Erdbeere,Philippinische Preiselbeere,Thailändische Himbeere,"Kiwis werden auch als ""Chinesische Stachelbeeren"" bzw. als ""Chinesische Strahlengriffel"" bezeichnet.",1
Zu welcher Pflanzenfamilie gehören Kiwis?,Knöterichgewächse (Polygonaceae),Rautengewächse (Rutaceae),Rosengewächse (Rosaceae),Strahlengriffelgewächse (Actinidiaceae),Kiwis gehören zur Familie der Strahlengriffelgewächse (Actinidiaceae).,4
"Wie heisst das eiweißspaltende Enzym der Kiwi, das dazu führt, dass Kiwis Milch bitter werden lassen?",Papain,Putrescin,Actinidin,Bromelain,"Das eiweißspaltende Enzym Actinidin lässt Milch bitter werden, wenn man frische Kiwis dazu gibt.",3
